名前	威力	対象	効果	値段
さびた剣	7	ヒガン	通常攻撃時に特殊効果が出る	
ひぐまの剣	65	ヒガン	通常攻撃時に特殊効果が出る	
白ツルの剣	143	ヒガン	通常攻撃時に特殊効果が出る	
アグニの剣	230	ヒガン	通常攻撃時に特殊効果が出る	
ヒガンの剣	254	ヒガン	通常攻撃時に特殊効果が出る	
ヒスイの玉	68	スバル	通常攻撃時に特殊効果が出る	
リュウジンの玉	123	スバル	通常攻撃時に特殊効果が出る	
ゲンブの玉	165	スバル	通常攻撃時に特殊効果が出る	
スバルの玉	210	スバル	通常攻撃時に特殊効果が出る	
ときのかがみ	127	テンジン	通常攻撃時に特殊効果が出る	
みずきのかがみ	184	テンジン	通常攻撃時に特殊効果が出る	
うきふねのかがみ	206	テンジン	通常攻撃時に特殊効果が出る	
テンジンのかがみ	232	テンジン	通常攻撃時に特殊効果が出る	
イッパツ刀	1	ヒガン,スバル,テンジン	攻撃力が10～200に変化	8888
オモチャの刀	5	ヒガン,スバル	使うと非力の効果	560
木刀	35	ヒガン,スバル,テンジン		88
木のヤリ	42	ヒガン,スバル,テンジン		140
いのちの短刀	48	スバル		560
くろぬりの刀	53	ヒガン		730
ブドウ刀	62	ヒガン,スバル,テンジン	敵味方全員を攻撃	22222
木こりのオノ	69	ヒガン		1300
ばんのうナイフ	71	スバル		480
ゆがんだ刀	78	ヒガン		1680
デバぼうちょう	82	スバル		1020
ハガネのくまで	91	ヒガン		2140
ねむりの短刀	92	スバル	通常攻撃時に時々眠り効果	8000
ゆうだちの刀	103	ヒガン,テンジン		5600
守りの短刀	107	スバル	使うと堅人の効果	20000
うえきバサミ	110	ヒガン		4800
あらしのツルギ	124	ヒガン,テンジン		7400
イカズチのツルギ	128	ヒガン,テンジン		9900
ヒメさまのムチ	128	スバル,テンジン		32000
じゃあくのツルギ	132	ヒガン,テンジン		760
ナミダの短刀	139	スバル		106000
こおりのヤイバ	139	テンジン		13600
金のてっせん	140	テンジン		264000
カツジン刀	150	テンジン	敵に与えたダメージの30%を吸収	564000
まなづるの太刀	162	ヒガン	使うと盛盛の効果	
もろはのツルギ	165	ヒガン,テンジン		38000
ヤシャ刀	173	テンジン		4800
ざわめきのツルギ	174	ヒガン,テンジン		43000
やみの刀	178	ヒガン	2回攻撃	
クビきりの刀	182	ヒガン,テンジン	時々クリティカルヒットが出る	62000
とどめの短刀	182	スバル	時々クリティカルヒットが出る	
かがやきの太刀	188	ヒガン		97600
アシュラ刀	189	ヒガン	通常攻撃時に毒効果	142000
ドキドキの刀	190	ヒガン,スバル,テンジン	戦闘中壊れることがある	777
リュウ王の太刀	197	ヒガン		127000
みずきの刀	199	テンジン	使うと神雷の効果	
セキリュウ刀	200	ヒガン	使うと神火の効果	228000
セン光のヤイバ	211	テンジン		
いちげきのヤリ	212	テンジン	会心の一撃が出やすい	301000
ハチのツルギ	1	ヒガン	30%の確率で敵が即死	
